users,roles
Colorado,dps
Florida,dps
Nevada,dps
Florida,dps
Florida,dps
Georgia,dps
Florida,dps
Kansas,dps
California,dps
California,dps
Texas,tank
Pennsylvania,dps
Texas,dps
California,dps
Maryland,dps
New Mexico,dps
California,dps
California,dps
Maryland,dps
Texas,dps
New York,dps
North Carolina,dps
Oregon,dps
District of Columbia,dps
Georgia,dps
Pennsylvania,dps
Oregon,dps
District of Columbia,dps
Michigan,dps
Michigan,dps
Florida,dps
Arizona,dps
California,dps
Florida,dps
Missouri,healer
Florida,healer
Indiana,dps
West Virginia,dps
New York,dps
Connecticut,tank
Pennsylvania,dps
Texas,dps
Pennsylvania,dps
Minnesota,dps
Texas,dps
West Virginia,dps
Oklahoma,dps
Georgia,dps
Tennessee,dps
Texas,dps
California,dps
New Jersey,dps
New York,dps
District of Columbia,tank
Texas,dps
Massachusetts,dps
Ohio,dps
Missouri,dps
Minnesota,dps
Texas,dps
South Dakota,dps
West Virginia,dps
Virginia,dps
Florida,dps
Texas,dps
New York,dps
California,dps
Indiana,dps
Florida,dps
California,dps
Oregon,dps
Arizona,dps
Florida,dps
New York,tank
Arizona,dps
Florida,dps
Nebraska,dps
Oregon,dps
Montana,tank
Kentucky,dps
Washington,dps
Texas,dps
Florida,dps
Florida,tank
Louisiana,dps
Nevada,dps
Alabama,dps
Ohio,dps
Alabama,dps
Pennsylvania,dps
Indiana,tank
Connecticut,dps
Ohio,healer
North Carolina,dps
Colorado,dps
Texas,dps
Ohio,dps
California,dps
Texas,dps
Missouri,dps
Florida,dps
Washington,dps
Virginia,dps
New York,dps
Nevada,dps
Ohio,dps
Alaska,tank
California,dps
Colorado,dps
Texas,dps
New Mexico,dps
Texas,dps
Ohio,dps
Texas,dps
Ohio,dps
Florida,dps
New York,dps
North Carolina,dps
South Dakota,dps
California,dps
Missouri,dps
Oklahoma,healer
Oklahoma,dps
West Virginia,dps
Texas,dps
Florida,tank
Nevada,dps
New Jersey,dps
Mississippi,dps
Nevada,dps
Illinois,dps
Louisiana,dps
Massachusetts,dps
Missouri,dps
District of Columbia,dps
Texas,dps
Ohio,healer
Minnesota,dps
Mississippi,dps
Tennessee,dps
Minnesota,dps
Iowa,dps
California,dps
California,dps
Ohio,dps
Alabama,dps
New York,dps
Colorado,dps
New York,dps
California,dps
Arizona,tank
Louisiana,dps
California,dps
Maryland,dps
Minnesota,dps
California,dps
Texas,dps
Louisiana,tank
Texas,dps
Tennessee,dps
New York,tank
Virginia,dps
Arizona,dps
California,dps
Alaska,dps
Arkansas,dps
South Carolina,dps
Oregon,healer
New York,dps
North Carolina,dps
Arizona,healer
Arizona,dps
Georgia,dps
North Dakota,dps
Florida,dps
California,dps
Illinois,dps
Kentucky,dps
Texas,dps
Florida,dps
Arizona,dps
Oklahoma,dps
Nevada,dps
Mississippi,dps
Kansas,dps
New Jersey,dps
District of Columbia,dps
Nevada,dps
Rhode Island,dps
Texas,dps
Michigan,dps
Alabama,dps
Kansas,dps
Colorado,dps
Florida,dps
Texas,dps
Massachusetts,dps
California,dps
Maryland,dps
Arizona,dps
Georgia,dps
Texas,dps
Michigan,dps
New York,dps
Georgia,dps
California,dps
Kentucky,dps
Iowa,dps
Kansas,dps
New York,tank
Michigan,dps
Florida,dps
Alabama,dps
Indiana,dps
New York,dps
Connecticut,dps
New York,dps
California,dps
Minnesota,dps
California,dps
Texas,dps
Louisiana,dps
Georgia,dps
New York,dps
California,dps
District of Columbia,dps
Massachusetts,dps
Montana,dps
Washington,dps
California,dps
Kentucky,dps
Florida,dps
Nevada,dps
Nebraska,dps
Ohio,dps
Pennsylvania,dps
Michigan,dps
Alabama,dps
Minnesota,dps
Pennsylvania,dps
Florida,dps
New York,dps
Arizona,dps
Iowa,dps
Florida,healer
Washington,dps
Texas,dps
California,tank
Florida,tank
Washington,dps
Ohio,dps
Florida,dps
Connecticut,dps
West Virginia,dps
Washington,dps
New York,dps
California,dps
California,dps
Louisiana,dps
Utah,healer
Louisiana,dps
Missouri,dps
Louisiana,dps
Nevada,dps
Ohio,dps
Delaware,dps
Massachusetts,dps
Arizona,dps
District of Columbia,dps
Arizona,healer
California,healer
Indiana,dps
North Carolina,dps
Pennsylvania,dps
Massachusetts,dps
California,dps
California,dps
Oklahoma,dps
California,tank
Pennsylvania,tank
